iter	Passed	Remaining
0	143	143421
1	146	73291
2	150	50070
3	155	38679
4	158	31592
5	162	26937
6	166	23604
7	170	21097
8	173	19130
9	177	17583
10	181	16329
11	185	15260
12	189	14353
13	192	13591
14	197	12939
15	200	12335
16	203	11789
17	207	11336
18	211	10925
19	215	10557
20	219	10235
21	223	9953
22	227	9673
23	231	9419
24	235	9195
25	240	9009
26	243	8790
27	247	8599
28	250	8393
29	253	8192
30	256	8005
31	257	7800
32	259	7604
33	261	7422
34	262	7249
35	264	7082
36	265	6923
37	267	6765
38	268	6615
39	269	6472
40	270	6336
41	272	6206
42	273	6080
43	274	5959
44	275	5842
45	276	5731
46	277	5624
47	278	5521
48	279	5429
49	280	5335
50	281	5242
51	282	5152
52	283	5065
53	284	4981
54	285	4900
55	286	4823
56	286	4747
57	287	4674
58	288	4604
59	289	4534
60	290	4467
61	291	4403
62	291	4340
63	292	4279
64	293	4222
65	294	4169
66	295	4113
67	296	4059
68	297	4008
69	297	3957
70	298	3908
71	299	3861
72	300	3815
73	301	3770
74	302	3727
75	303	3684
76	303	3642
77	304	3605
78	305	3565
79	306	3528
80	307	3494
81	309	3461
82	309	3423
83	310	3390
84	312	3359
85	313	3328
86	314	3298
87	315	3268
88	316	3236
89	317	3205
90	317	3175
91	318	3146
92	319	3118
93	320	3089
94	321	3061
95	322	3034
96	323	3007
97	324	2983
98	325	2958
99	325	2933
100	326	2908
101	327	2884
102	328	2860
103	329	2837
104	330	2814
105	331	2792
106	332	2772
107	333	2751
108	334	2730
109	335	2710
110	336	2691
111	336	2671
112	338	2653
113	339	2635
114	340	2617
115	341	2598
116	341	2578
117	342	2561
118	343	2543
119	344	2526
120	345	2511
121	346	2494
122	347	2478
123	348	2462
124	349	2446
125	350	2430
126	351	2413
127	351	2397
128	352	2382
129	354	2369
130	354	2354
131	355	2340
132	356	2326
133	357	2311
134	358	2298
135	359	2285
136	360	2272
137	361	2260
138	362	2246
139	363	2233
140	364	2220
141	365	2205
142	365	2192
143	366	2180
144	367	2167
145	368	2156
146	369	2144
147	370	2132
