iter	Passed	Remaining
0	1	134
1	2	117
2	3	109
3	4	100
4	5	96
5	5	93
6	6	91
7	7	89
8	8	88
9	9	86
10	10	83
11	11	82
12	12	81
13	13	80
14	14	79
15	14	78
16	15	77
17	16	77
18	17	76
19	18	75
20	19	75
21	21	74
22	22	73
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	61
38	38	60
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	48	47
51	49	46
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	56	38
59	57	38
60	57	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
